kml_name;kml_description;longitude;latitude;height
Aet?s;BulgariaThracian;27.24907313;42.70016009;0
Kozloduy;BulgariaThracian;23.72249782;43.77970959;0
Valve;BulgariaThracians;23.54956808;43.20360987;0
Tatul;BulgariaThracian;25.55060707;41.5486116;0
Petra(Heraclea Sintica?);BulgariaThracian;23.23926709;41.43226584;0
Sveti Vrach;BulgariaTracian;23.28035734;41.56495753;0
Scaptopara;BulgariaThracianfounded ~ 300 BC;23.09943929;42.01939475;0
Artanes;BulgariaThracian;23.24518853;43.82443519;0
Serdica;BulgariaThracian;23.33872016;42.71140035;0
Stenimahos;BulgariaThracian;24.88074454;42.01367426;0
Hisarya;BulgariaThracian;24.70528049;42.50733727;0
Eumolpias (Philippopolis);BulgariaThracian;24.74835423;42.14750253;0
Seuthopolis;BulgariaThracian;25.29396523;42.61847058;0
Krakra;BulgariaThracian;23.02671459;42.6010951;0
Storgosia;BulgariaThracian;24.61977425;43.41606772;0
Beroe;BulgariaThracian;25.63269719;42.4227124;0
Agathopolis;BulgariaThracian;27.94154363;42.10070867;0
Primorsko;BulgariaThracian;27.75919282;42.26761908;0
Sliven;BulgariaThracian;26.32054136;42.67884489;0
Cabyle;BulgarianThracian;26.49750025;42.48513065;0
Anchialos;Bulgaria;27.64456506;42.55609935;0
Kiten(Urdoviza);Bulgaria;27.77622397;42.23067997;0
Larissa;Bulgaria;27.76017563;42.71345382;0
Pyrgos;Bulgaria;27.46923739;42.49438529;0
Melta;Bulgaria;24.71542676;43.13503595;0
Rousse (Sexaginta Prista);Bulgaria;25.95327541;43.84669281;0
Mesembria;Bulgaria;27.73102082;42.65869265;0
Aspros;Bulgaria;27.88889701;42.87205139;0
Emona;Bulgaria;27.88342212;42.71554489;0
Karon Limen;Bulgaria;28.53206916;43.53768073;0
Krounoi;Bulgaria;28.16637189;43.4082211;0
Apollonia;Bulgaria;27.69757845;42.41830452;0
Odessos;Bulgaria;27.91571206;43.20797676;0
Byzone;Bulgaria;28.33764823;43.43518917;0
Dunonia;BulgariaCeltic;22.88192835;43.99153696;0
Durostorum;Bulgaria;27.24187449;44.07720828;0
Arutella;Romania;24.312858;45.276228;0
Abrittus;Bulgaria;26.54333182;43.52145724;0
Montanensium;Bulgaria;23.23387799;43.41411363;0
Kamen Bryag;Bulgaria;28.55713438;43.45353207;0
Oescus;Bulgaria;24.46635257;43.70974633;0
Nikopol;Bulgaria;24.90066175;43.70434394;0
Sherampol;Bulgaria;25.32739905;42.20028631;0
Raciaria;Bulgaria;22.91902255;43.81011342;0
Dobrich;Bulgaria;27.83904109;43.57186414;0
Caput Stenarum;Romania;24.2575;45.633056;0
Banja Luka;Bosnia and Herzegovina;17.18712493;44.76769248;0
Vare?;Bosnia and Herzegovina;18.3197725;44.13938959;0
Ilid?a;Bosnia and Herzegovina;18.30280031;43.8330817;0
Visoko;Bosnia and Herzegovina;18.17905479;43.98959864;0
Tarsatica;Croatia;14.46663505;45.3329991;0
Asp?lathos;CroatiaGreek;16.43394182;43.50923312;0
Tragurion;CroatiaGreek;16.25062165;43.51653154;0
Inaronia;CroatiaIllyrian;17.02118825;43.29428359;0
Iadera;CroatiaIllyrian(Liburnians);15.22520358;44.11578133;0
Salona(Split);CroatiaIllyrian(Delmatae);16.48280724;43.53951271;0
Klis;Croatia;16.52331439;43.55998809;0
Epidaurus;CroatiaGreek;18.2257867;42.58125443;0
Tarpano;Croatia;17.27264728;43.00080421;0
Daruvar;Croatia;17.21983521;45.59197662;0
Andautonia;Croatia;16.11743849;45.77371122;0
Burnum;Croatia;16.02581655;44.0181169;0
Siscia;Croatia;16.37172474;45.48338811;0
Nin;Croatia;15.17703315;44.23971231;0
Arupiunum;Croatia;13.6325467;45.08252837;0
Ascrivium;Croatia;14.696903;45.18273502;0
Biston;Croatia;17.34233676;43.10627762;0
Narona;Croatia;17.6380153;43.06924074;0
Pula;Croatia;13.84695966;44.87013128;0
Barban;Croatia;14.01634996;45.0636803;0
Cucium;Croatia;19.3789263;45.22402713;0
Colentum;Croatia;15.60137448;43.8177264;0
Avl?n(Albona);Croatia;14.12136131;45.09289934;0
Attienities(Senia);Croatia;14.90295145;44.99141494;0
Aquama;Croatia;16.44106162;46.38624373;0
Arausa;Croatia;15.77477396;43.75788295;0
Cibalis;Croatia;18.80456523;45.28837479;0
Astakos;Greece;21.08176627;38.53565495;0
Gythium;Greece;22.56160954;36.76247706;0
Skiathos;Greece;23.48731339;39.16519787;0
Peparethos;GreeceCretan (Minoan?);23.72193319;39.12117823;0
Amarynthos;Greece;23.88333864;38.39391535;0
Poimandria;Greece;23.53650402;38.32723501;0
Pheneos;Greece;22.32382943;37.95132995;0
Teuthis;Greece;22.03898706;37.59658348;0
Cyllene;Greece;21.14515436;37.93484735;0
Elateia;Greece;22.54044833;39.81167413;0
Hierapytna;Greece (Crete);25.73698983;35.00457156;0
Stymphalos;Greece;22.46439653;37.87852823;0
Kasos;Greece;26.92262163;35.41591521;0
Karpathos;Greece;27.20641303;35.50500514;0
Gyroula;Greece;25.43118837;37.02894962;0
Galatas;Grece (Crete);25.24577287;35.17431778;0
Lindos;GreeceDorian;28.08815556;36.09163823;0
Ialysos;GreeceDorian;28.14351579;36.39961789;0
Kameiros;GreeceDorian;27.92114045;36.33607408;0
