Volcano Name;Year;Month;Day;Elevation;Volcano Type;Status;Location;Country;Flag Tsunami;Flag Earthquake;Volcanic Explosivity Index;Deaths;Missing;Injuries;Damage (in M$);Damage Description;Houses destroyed;Lat;Lon;Height
Semeru;1992;;;3676;Stratovolcano;Historical;Java;Indonesia;;;3;3;;;;;;-8.108;112.92;0
Yasur;1994;1;15;361;Stratovolcano;Historical;Vanuatu-SW Pacific;Vanuatu;;;3;1;;;;;;-19.52;169.425;0
San Cristobal;1998;10;30;1745;Stratovolcano;Historical;Nicaragua;Nicaragua;;;;1620;;;;;;12.702;-87.004;0
Tengger Caldera;2004;6;8;2329;Stratovolcano;Historical;Java;Indonesia;;;2;2;;5;;;;-7.942;112.95;0
Huila;2007;4;18;5365;Stratovolcano;Historical;Colombia;Colombia;;;;;;;;MODERATE (~$1 to $5 million);;2.92;-76.05;0
Chaiten;2008;5;2;962;Caldera;Holocene;Chile-S;Chile;;;;1;;;;;;-42.833;-72.646;0
Kasatochi;2008;8;8;314;Stratovolcano;Historical;Aleutian Is;United States;Tsunami;;3;;;;;;;52.18;-175.5;0
Merapi;2017;12;18;2947;Stratovolcano;Historical;Java;Indonesia;;;;8;;8;;;;-7.542;110.442;0
Masaya;-4050;;;635;Caldera;Historical;Nicaragua;Nicaragua;;;6;;;;;;;11.984;-86.161;0
Vesuvius;-2420;;;1281;Complex volcano;Historical;Italy;Italy;;;5;;;;;;;40.821;14.426;0
Vesuvius;79;8;25;1281;Complex volcano;Historical;Italy;Italy;Tsunami;Earthquake;5;2100;;;;;;40.821;14.426;0
Chichon, El;1375;;;1150;Tuff cone;Historical;Mexico;Mexico;;;5;;;;;;;17.36;-93.228;0
Kelut;1376;;;1731;Stratovolcano;Historical;Java;Indonesia;;;3;;;;;;;-7.93;112.308;0
Campi Flegrei;1538;9;29;458;Caldera;Historical;Italy;Italy;;;3;24;;;;;;40.827;14.139;0
Unzen;1664;4;15;1500;Complex volcano;Historical;Kyushu-Japan;Japan;;;2;30;;;;;;32.75;130.3;0
Cotopaxi;1698;;;5911;Stratovolcano;Historical;Ecuador;Ecuador;;;3;;;;;;;-0.677;-78.436;0
Gamalama;1775;;;1715;Stratovolcano;Historical;Halmahera-Indonesia;Indonesia;;;3;1300;;;;;;0.8;127.325;0
Mayon;1800;10;30;2462;Stratovolcano;Historical;Luzon-Philippines;Philippines;;;2;;;;;;;13.257;123.685;0
Usu;1822;3;9;731;Stratovolcano;Historical;Hokkaido-Japan;Japan;;;4;50;;53;;;;42.53;140.83;0
Galunggung;1822;10;8;2168;Stratovolcano;Historical;Java;Indonesia;;;5;4011;;;;SEVERE (~>$5 to $24 million);;-7.25;108.05;0
Gamalama;1840;2;2;1715;Stratovolcano;Historical;Halmahera-Indonesia;Indonesia;Tsunami;;2;;;;;;;0.8;127.325;0
Miyake-jima;1874;7;3;815;Stratovolcano;Historical;Izu Is-Japan;Japan;;;3;1;;;;;;34.08;139.53;0
Piparo;1911;11;3;140;Mud volcano;Historical;Trinidad;Trinidad;Tsunami;;;;;;;;;10;-61;0
Semeru;1911;11;8;3676;Stratovolcano;Historical;Java;Indonesia;;;3;;;;;LIMITED (roughly corresponding to less than $1 million);;-8.108;112.92;0
Stromboli;1916;7;3;926;Stratovolcano;Historical;Italy;Italy;Tsunami;;3;;;;;;;38.789;15.213;0
Dieng Volc Complex;1928;5;13;2565;Complex volcano;Historical;Java;Indonesia;;;2;40;;;;;;-7.2;109.92;0
Bulusan;1933;12;25;1565;Stratovolcano;Historical;Luzon-Philippines;Philippines;Tsunami;;2;;;;;;;12.77;124.05;0
Usu;1944;8;26;731;Stratovolcano;Historical;Hokkaido-Japan;Japan;;;2;1;;;;;;42.53;140.83;0
Ruapehu;1953;12;24;2797;Stratovolcano;Historical;New Zealand;New Zealand;;;;151;;;;;;-39.28;175.57;0
Kelut;1966;4;26;1731;Stratovolcano;Historical;Java;Indonesia;;;4;215;78;86;;;;-7.93;112.308;0
Lengai, Ol Doinyo;1966;8;14;2890;Stratovolcano;Historical;Africa-E;Tanzania;;;4;;;;;LIMITED (roughly corresponding to less than $1 million);;-2.751;35.902;0
Narugo;1969;8;26;462;Caldera;Historical;Honshu-Japan;Japan;;;;1;;;;;;38.73;140.73;0
Hudson, Cerro;1971;8;12;1905;Stratovolcano;Historical;Chile-S;Chile;;;3;5;;;;;;-45.9;-72.97;0
Iliwerung;1973;12;5;1018;Complex volcano;Historical;Lesser Sunda Is;Indonesia;;;2;2;;;;;;-8.54;123.59;0
Karkar;1979;3;8;1839;Stratovolcano;Historical;New Guinea-NE of;Papua New Guinea;;;2;2;;;;;;-4.649;145.964;0
Etna;1981;3;17;3350;Stratovolcano;Historical;Italy;Italy;;;2;;;;10;SEVERE (~>$5 to $24 million);;37.734;15.004;0
Chichon, El;1982;3;29;1150;Tuff cone;Historical;Mexico;Mexico;;Earthquake;5;1879;1755;;3.3;MODERATE (~$1 to $5 million);;17.36;-93.228;0
Galeras;1993;1;14;4276;Complex volcano;Historical;Colombia;Colombia;;;2;9;;;;;;1.22;-77.37;0
Etna;2002;8;28;3350;Stratovolcano;Historical;Italy;Italy;;Earthquake;3;;;32;;MODERATE (~$1 to $5 million);;37.734;15.004;0
Huila;2008;11;20;5365;Stratovolcano;Historical;Colombia;Colombia;;;;10;;;;;;2.92;-76.05;0
Puyehue;2011;6;4;2236;Stratovolcano;Holocene;Chile-C;Chile;;;4;;;;;MODERATE (~$1 to $5 million);;-40.59;-72.117;0
Okataina;2013;12;13;1111;Lava dome;Historical;New Zealand;New Zealand;;;;1;;;;;;-38.12;176.5;0
On-take;2014;9;27;3063;Complex volcano;Historical;Honshu-Japan;Japan;;;3;55;;70;;;;35.9;137.48;0
Gamalama;2014;12;18;1715;Stratovolcano;Historical;Halmahera-Indonesia;Indonesia;;;;1;;4;;;;0.8;127.325;0
Mayon;2018;1;13;2462;Stratovolcano;Historical;Luzon-Philippines;Philippines;;;;;;1972;3.564;MODERATE (~$1 to $5 million);;13.257;123.685;0
Manam;2018;8;25;1807;Stratovolcano;Historical;New Guinea-NE of;Papua New Guinea;;;4;;;;;SEVERE (~>$5 to $24 million);164;-4.1;145.061;0
Arhab, Harra of;200;;;3100;Volcanic field;Historical;Arabia-S;Yemen;;;;;;;;LIMITED (roughly corresponding to less than $1 million);;15.63;44.08;0
Uwayrid, Harrat;640;;;1900;Volcanic field;Anthropology;Arabia-W;Saudi Arabia;;;2;;;;;;;27.08;37.25;0
Etna;1169;2;11;3350;Stratovolcano;Historical;Italy;Italy;Tsunami;;;;;;;;;37.734;15.004;0
Huaynaputina;1600;2;19;4850;Stratovolcano;Historical;Peru;Peru;;Earthquake;6;1500;;;;;;-16.608;-70.85;0
Grimsvotn;1629;;;1725;Caldera;Historical;Iceland-NE;Iceland;;;2;4;;;;;;64.42;-17.33;0
Bardarbunga;1717;8;4;2000;Stratovolcano;Historical;Iceland-NE;Iceland;;;3;;;;;LIMITED (roughly corresponding to less than $1 million);;64.63;-17.53;0
Raikoke;1778;;;551;Stratovolcano;Historical;Kuril Is;Russia;;;4;15;;;;;;48.292;153.25;0
Oshima;1789;;;758;Stratovolcano;Historical;Izu Is-Japan;Japan;;;2;;;;;;;34.73;139.38;0
Vesuvius;1805;8;11;1281;Complex volcano;Historical;Italy;Italy;;;2;4;;;;;;40.821;14.426;0
Guntur;1829;;;2249;Complex volcano;Historical;Java;Indonesia;;;2;;;;;;;-7.13;107.83;0
Peuet Sague;1837;9;;2801;Complex volcano;Historical;Sumatra;Indonesia;Tsunami;Earthquake;;;;;;;;4.914;96.329;0
Unnamed;1853;10;29;0;Submarine volcano;Historical;Taiwan-E of;Taiwan;Tsunami;;2;;;;;;;24;121.83;0
Aso;1854;2;;1592;Caldera;Historical;Kyushu-Japan;Japan;;;2;3;;;;;;32.88;131.1;0
Semeru;1860;4;;3676;Stratovolcano;Historical;Java;Indonesia;;;2;;;;;LIMITED (roughly corresponding to less than $1 million);;-8.108;112.92;0
Camiguin;1871;4;30;1332;Stratovolcano;Historical;Mindanao-Philippines;Philippines;Tsunami;Earthquake;2;;;;;SEVERE (~>$5 to $24 million);;9.203;124.673;0
Askja;1875;3;29;1516;Stratovolcano;Historical;Iceland-NE;Iceland;;;5;;;;;LIMITED (roughly corresponding to less than $1 million);;65.03;-16.75;0
Tungurahua;1886;1;11;5023;Stratovolcano;Historical;Ecuador;Ecuador;;;4;2;;;;;;-1.467;-78.442;0
Okataina;1886;6;10;1111;Lava dome;Historical;New Zealand;New Zealand;;;2;153;;;;;;-38.12;176.5;0
Calbuco;1893;1;7;2003;Stratovolcano;Historical;Chile-S;Chile;;;4;;;;;LIMITED (roughly corresponding to less than $1 million);;-41.326;-72.614;0
Camiguin;1951;12;4;1332;Stratovolcano;Historical;Mindanao-Philippines;Philippines;;;3;500;1500;;;;;9.203;124.673;0
Myojun Knoll;1953;3;11;360;Submarine volcano;Holocene;Izu Is-Japan;Japan;Tsunami;;2;;;;;;;32.1;139.85;0
Unzen;1957;7;;1500;Complex volcano;Historical;Kyushu-Japan;Japan;;;;13;;;;;;32.75;130.3;0
Semeru;1981;3;29;3676;Stratovolcano;Historical;Java;Indonesia;;;3;1;;;;;;-8.108;112.92;0
