kml_name;kml_description;kml_description_2;longitude;latitude;height
Solomon?s Portico / in Jerusalem;"John <a href=""https://www.biblegateway.com/passage/?search=John.10.23&version=NIV"">10:23</a>, Acts <a href=""https://www.biblegateway.com/passage/?search=Acts.3.11&version=NIV"">3:11</a>, <a href=""https://www.biblegateway.com/passage/?search=Acts.5.12&version=ESV"">5:12</a>";;35.234167;31.776667;0
South 1 (90% confidence);"Zech <a href=""https://www.biblegateway.com/passage/?search=Zech.7.7&version=ESV"">7:7</a>";;34.61892;31.20876;0
South 1 (80% confidence);"Zech <a href=""https://www.biblegateway.com/passage/?search=Zech.7.7&version=ESV"">7:7</a>";;34.61892;31.20876;0
South 1 (70% confidence);"Zech <a href=""https://www.biblegateway.com/passage/?search=Zech.7.7&version=ESV"">7:7</a>";;34.68121;31.28936;0
South 1 (60% confidence);"Zech <a href=""https://www.biblegateway.com/passage/?search=Zech.7.7&version=ESV"">7:7</a>";;34.55663;31.04757;0
South 1 (50% confidence);"Zech <a href=""https://www.biblegateway.com/passage/?search=Zech.7.7&version=ESV"">7:7</a>";;34.80579;31.28936;0
South 1 (40% confidence);"Zech <a href=""https://www.biblegateway.com/passage/?search=Zech.7.7&version=ESV"">7:7</a>";;34.49434;30.99384;0
South 1 (30% confidence);"Zech <a href=""https://www.biblegateway.com/passage/?search=Zech.7.7&version=ESV"">7:7</a>";;34.40091;30.99384;0
South 1 (20% confidence);"Zech <a href=""https://www.biblegateway.com/passage/?search=Zech.7.7&version=ESV"">7:7</a>";;34.4632;31.26249;0
South 1 (10% confidence);"Zech <a href=""https://www.biblegateway.com/passage/?search=Zech.7.7&version=ESV"">7:7</a>";;34.30748;30.6446;0
South 1 / Negeb;"Zech <a href=""https://www.biblegateway.com/passage/?search=Zech.7.7&version=ESV"">7:7</a>";another name for the Valley of Jehoshaphat;34.840833;31.244722;0
South 2 (90% confidence);"Matt <a href=""https://www.biblegateway.com/passage/?search=Matt.12.42&version=ESV"">12:42</a>, Luke <a href=""https://www.biblegateway.com/passage/?search=Luke.11.31&version=ESV"">11:31</a>";;43.81957;15.51157;0
South 2 (80% confidence);"Matt <a href=""https://www.biblegateway.com/passage/?search=Matt.12.42&version=ESV"">12:42</a>, Luke <a href=""https://www.biblegateway.com/passage/?search=Luke.11.31&version=ESV"">11:31</a>";;43.81957;15.51157;0
South 2 (70% confidence);"Matt <a href=""https://www.biblegateway.com/passage/?search=Matt.12.42&version=ESV"">12:42</a>, Luke <a href=""https://www.biblegateway.com/passage/?search=Luke.11.31&version=ESV"">11:31</a>";;43.81957;15.65659;0
South 2 (60% confidence);"Matt <a href=""https://www.biblegateway.com/passage/?search=Matt.12.42&version=ESV"">12:42</a>, Luke <a href=""https://www.biblegateway.com/passage/?search=Luke.11.31&version=ESV"">11:31</a>";;43.5217;14.93149;0
South 2 (50% confidence);"Matt <a href=""https://www.biblegateway.com/passage/?search=Matt.12.42&version=ESV"">12:42</a>, Luke <a href=""https://www.biblegateway.com/passage/?search=Luke.11.31&version=ESV"">11:31</a>";;43.81957;15.80161;0
South 2 (40% confidence);"Matt <a href=""https://www.biblegateway.com/passage/?search=Matt.12.42&version=ESV"">12:42</a>, Luke <a href=""https://www.biblegateway.com/passage/?search=Luke.11.31&version=ESV"">11:31</a>";;43.5217;14.49643;0
South 2 (30% confidence);"Matt <a href=""https://www.biblegateway.com/passage/?search=Matt.12.42&version=ESV"">12:42</a>, Luke <a href=""https://www.biblegateway.com/passage/?search=Luke.11.31&version=ESV"">11:31</a>";;43.37276;15.07651;0
South 2 (20% confidence);"Matt <a href=""https://www.biblegateway.com/passage/?search=Matt.12.42&version=ESV"">12:42</a>, Luke <a href=""https://www.biblegateway.com/passage/?search=Luke.11.31&version=ESV"">11:31</a>";;43.37276;14.93149;0
South 2 (10% confidence);"Matt <a href=""https://www.biblegateway.com/passage/?search=Matt.12.42&version=ESV"">12:42</a>, Luke <a href=""https://www.biblegateway.com/passage/?search=Luke.11.31&version=ESV"">11:31</a>";;43.96851;16.09165;0
South 2 / Sheba;"Matt <a href=""https://www.biblegateway.com/passage/?search=Matt.12.42&version=ESV"">12:42</a>, Luke <a href=""https://www.biblegateway.com/passage/?search=Luke.11.31&version=ESV"">11:31</a>";another name for Tarshish 1;44.206389;15.348333;0
South 3 / South 3;"Dan <a href=""https://www.biblegateway.com/passage/?search=Dan.11.5&version=NIV"">11:5</a>, <a href=""https://www.biblegateway.com/passage/?search=Dan.11.6&version=NIV"">11:6</a>, <a href=""https://www.biblegateway.com/passage/?search=Dan.11.7&version=CSB"">11:7</a>, <a href=""https://www.biblegateway.com/passage/?search=Dan.11.9&version=NIV"">11:9</a>, <a href=""https://www.biblegateway.com/passage/?search=Dan.11.11&version=NIV"">11:11</a>, <a href=""https://www.biblegateway.com/passage/?search=Dan.11.12&version=NIV"">11:12</a>, <a href=""https://www.biblegateway.com/passage/?search=Dan.11.14&version=NIV"">11:14</a>, <a href=""https://www.biblegateway.com/passage/?search=Dan.11.15&version=NIV"">11:15</a>, <a href=""https://www.biblegateway.com/passage/?search=Dan.11.17&version=NIV"">11:17</a>, <a href=""https://www.biblegateway.com/passage/?search=Dan.11.25&version=NIV"">11:25</a>, <a href=""https://www.biblegateway.com/passage/?search=Dan.11.29&version=NIV"">11:29</a>, <a href=""https://www.biblegateway.com/passage/?search=Dan.11.40&version=NIV"">11:40</a>";;34.759119;30.951767;0
