region;probability;age M;daimeter km;webpage;longitude;latitude;height
Европа;Предполагаемый;;1.5;http://labmpg.sscc.ru/a639.html;13.978286;57.900378;0
Азия;Вероятный;200;35;http://labmpg.sscc.ru/a456.html;129.859512;56.176234;0
Азия;Предполагаемый;архей (3550±50);1166;http://labmpg.sscc.ru/a549.html;130;59;0
Азия;Предполагаемый;;360;http://labmpg.sscc.ru/a2736.html;125.368;58.017;0
Европа;Предполагаемый;;0.04;http://labmpg.sscc.ru/a279.html;50.1007354;55.3017926;0
Европа;Предполагаемый;;0.25;http://labmpg.sscc.ru/a1487.html;1.993297;48.907104;0
Европа;Неустановленный;;18;http://labmpg.sscc.ru/a1587.html;33.0496216;46.5980341;0
Азия;Неустановленный;~0.013;1.7;http://labmpg.sscc.ru/a1214.html;51.6793442;50.2709101;0
Африка;Предполагаемый;;1.2;http://labmpg.sscc.ru/a657.html;27.05;23.463;0
Азия;Предполагаемый;;1500;http://labmpg.sscc.ru/a2477.html;82.5;43;0
Азия;Предполагаемый;;0.115;http://labmpg.sscc.ru/a2099.html;73.4072757;37.8754462;0
Европа;Неустановленный;-11000y;;http://labmpg.sscc.ru/a1476.html;12.360397;55.799607;0
Европа;Предполагаемый;-5000y;0.15;http://labmpg.sscc.ru/a1360.html;22.71439;39.161813;0
Европа;Предполагаемый;-5000y;0.25;http://labmpg.sscc.ru/a1360.html;22.709335;39.163273;0
Европа;Предполагаемый;;3;http://labmpg.sscc.ru/a1185.html;16.399245;62.033955;0
Европа;Предполагаемый;~0.01 (<0.02);1.36;http://labmpg.sscc.ru/a1280.html;35.668279;56.308648;0
Северная Америка;Предполагаемый;;4;http://labmpg.sscc.ru/a1140.html;-77.983;45.683;0
Азия;Неустановленный;;1200;http://labmpg.sscc.ru/a2154.html;87.5;48.73;0
Азия;Неустановленный;;6;http://labmpg.sscc.ru/a1302.html;75.6183815;49.3364209;0
Азия;Предполагаемый;;0.08;http://labmpg.sscc.ru/a361.html;64;51;0
Азия;Достоверный;< 0.005 (-2300y 2.4);3.4;http://labmpg.sscc.ru/a606.html;47.10594;31.240604;0
Азия;Предполагаемый;;;http://labmpg.sscc.ru/a1475.html;39.063437;24.624147;0
Африка;Неустановленный;;0.4;http://labmpg.sscc.ru/a2321.html;25.04237;22.84642;0
Азия;Неустановленный;;1;http://labmpg.sscc.ru/a2322.html;36.2076;35.404;0
Азия;Неустановленный;;0.6;http://labmpg.sscc.ru/a2322.html;36.203;35.4189;0
Азия;Неустановленный;;1;http://labmpg.sscc.ru/a2760.html;36.20244;35.44113;0
Азия;Неустановленный;;1;http://labmpg.sscc.ru/a2760.html;36.2031;35.4566;0
Азия;Неустановленный;;0.7;http://labmpg.sscc.ru/a2760.html;36.2039;35.4674;0
Азия;Неустановленный;;0.5;http://labmpg.sscc.ru/a2760.html;36.2107;35.47513;0
Азия;Вероятный;< 360;6;http://labmpg.sscc.ru/a318.html;37.190306;28.652306;0
Азия;Предполагаемый;;9;http://labmpg.sscc.ru/a2199.html;42.085161;24.863544;0
Азия;Вероятный;50 (< 55.8);3.2;http://labmpg.sscc.ru/a342.html;39.422;32.583806;0
Азия;Предполагаемый;;15;http://labmpg.sscc.ru/a642.html;42.9110527;27.2225782;0
