region;probability;age M;daimeter km;webpage;longitude;latitude;height
Африка;Предполагаемый;;10;http://labmpg.sscc.ru/a1103.html;26.3;22;0
Африка;Неустановленный;;0.15;http://labmpg.sscc.ru/a2251.html;-4.349;31.2378;0
Африка;Предполагаемый;<100;59-60.3;http://labmpg.sscc.ru/a843.html;34.0274048;17.0994485;0
Африка;Неустановленный;;;http://labmpg.sscc.ru/a1524.html;33.996341;30.26804;0
Африка;Неустановленный;;;http://labmpg.sscc.ru/a1524.html;33.97972;30.256998;0
Азия;Неустановленный;;6;http://labmpg.sscc.ru/a2167.html;42.88;18.75;0
Северная Америка;Вероятный;385-501;6;http://labmpg.sscc.ru/a625.html;-114.823827;51.903373;0
Северная Америка;Достоверный;88 (416-488. 350);2.2;http://labmpg.sscc.ru/a62.html;-85.12;38.18;0
Азия;Предполагаемый;;110;http://labmpg.sscc.ru/a258.html;69.135953;46.791109;0
Северная Америка;Предполагаемый;;;http://labmpg.sscc.ru/a2311.html;-82.4;33;0
Африка;Предполагаемый;1960.11.2!;;http://labmpg.sscc.ru/a1957.html;43;9;0
Африка;Предполагаемый;;0.37;http://labmpg.sscc.ru/a661.html;27.189066;23.533704;0
Африка;Предполагаемый;;0.71;http://labmpg.sscc.ru/a661.html;27.178046;23.518473;0
Северная Америка;Предполагаемый;0.012-0.025;0.2;http://labmpg.sscc.ru/a3055.html;-79.2871;46.5543;0
Северная Америка;Достоверный;88-200 (35±0.3 35.3);11;http://labmpg.sscc.ru/a1020.html;-79.367224;33.818118;0
Австралия;Предполагаемый;0.01;4;http://labmpg.sscc.ru/a887.html;141.21;-39.16;0
Европа;Опровергнутый;;0.03;http://labmpg.sscc.ru/a2632.html;27.869;65.139472;0
Азия;Предполагаемый;P/T;750;http://labmpg.sscc.ru/a1253.html;86;45;0
Европа;Предполагаемый;;6.5;http://labmpg.sscc.ru/a700.html;28.63;62.73;0
Европа;Предполагаемый;;12;http://labmpg.sscc.ru/a701.html;27.92;63.07;0
Африка;Предполагаемый;;1.6;http://labmpg.sscc.ru/a1151.html;10.588291;26.541242;0
Австралия;Предполагаемый;;0.08;http://labmpg.sscc.ru/a2312.html;141.00188;-23.597711;0
Австралия;Предполагаемый;;0.1;http://labmpg.sscc.ru/a2312.html;141.000722;-23.598009;0
Австралия;Предполагаемый;;0.1;http://labmpg.sscc.ru/a2312.html;140.999034;-23.598343;0
Азия;Предполагаемый;;42;http://labmpg.sscc.ru/a2776.html;92.4128723;55.8591288;0
Центральная Америка;Неустановленный;;16.9;http://labmpg.sscc.ru/a1425.html;-103.696148;25.690559;0
Центральная Америка;Неустановленный;;4;http://labmpg.sscc.ru/a2313.html;-103.652744;25.451474;0
Европа;Предполагаемый;палеоген / неоген;1000;http://labmpg.sscc.ru/a365.html;22;46.5;0
Северная Америка;Достоверный;102±95 (99±4. 100±50);13;http://labmpg.sscc.ru/a64.html;-102.995152;56.404938;0
Австралия;Предполагаемый;;1;http://labmpg.sscc.ru/a670.html;148.17;-28.58;0
Северный Ледовитый океан;Предполагаемый;;;http://labmpg.sscc.ru/a1522.html;-52;69;0
Европа;Предполагаемый;;180;http://labmpg.sscc.ru/a543.html;34.95111;48.87313;0
Азия;Предполагаемый;;6;http://labmpg.sscc.ru/a1525.html;90.029984;31.231151;0
Азия;Предполагаемый;;3;http://labmpg.sscc.ru/a2314.html;89.733448;31.235477;0
Европа;Достоверный;359±252 (290±35);4.5;http://labmpg.sscc.ru/a36.html;23.283682;56.570056;0
Азия;Неустановленный;0.000117 (1893y);0.055;http://labmpg.sscc.ru/a1114.html;44.402022;39.420716;0
Азия;Предполагаемый;;0.11;http://labmpg.sscc.ru/a2315.html;44.408795;39.416988;0
Азия;Предполагаемый;;0.11;http://labmpg.sscc.ru/a2315.html;44.409785;39.419956;0
Азия;Вероятный;0.000056 (1920y. 1952y);0.035;http://labmpg.sscc.ru/a579.html;44.228409;39.529527;0
Азия;Предполагаемый;;0.01;http://labmpg.sscc.ru/a579.html;44.229818;39.52998;0
Европа;Предполагаемый;-2000y;0.52;http://labmpg.sscc.ru/a1426.html;-4.54966;50.54219;0
Европа;Предполагаемый;;0.03;http://labmpg.sscc.ru/a274.html;37.91082;53.995123;0
Азия;Предполагаемый;;;http://labmpg.sscc.ru/a1355.html;76.090419;47.009096;0
Азия;Вероятный;129±3;190;http://labmpg.sscc.ru/a65.html;116.25;42.045;0
Европа;Неустановленный;;3;http://labmpg.sscc.ru/a2239.html;37.523042;48.168576;0
Европа;Неустановленный;;3;http://labmpg.sscc.ru/a424.html;8;45.5;0
Европа;Неустановленный;;1.2;http://labmpg.sscc.ru/a2728.html;42.093348;54.345921;0
Северная Америка;Предполагаемый;;192;http://labmpg.sscc.ru/a2973.html;-138.8974;63.65887;0
Северная Америка;Неустановленный;;;http://labmpg.sscc.ru/a1526.html;-107.813847;46.336292;0
Азия;Предполагаемый;0.001;12;http://labmpg.sscc.ru/a960.html;110.505;12.737;0
Азия;Неустановленный;;0.08;http://labmpg.sscc.ru/a2320.html;43.30705;38.95781;0
;Предполагаемый;;;http://labmpg.sscc.ru/a2812.html;;;0
Азия;Предполагаемый;;7;http://labmpg.sscc.ru/a1229.html;82.09;49.96;0
Австралия;Предполагаемый;;0.28;http://labmpg.sscc.ru/a1040.html;132.750903;-24.777713;0
Европа;Вероятный;0.065 (0.03);0.03;http://labmpg.sscc.ru/a1178.html;41.435353;54.732297;0
Европа;Вероятный;0.065 (0.03);0.03;http://labmpg.sscc.ru/a1178.html;41.403747;54.732344;0
Европа;Вероятный;0.065 (0.03);0.03;http://labmpg.sscc.ru/a1178.html;41.393505;54.74155;0
Европа;Предполагаемый;0.065;0.7;http://labmpg.sscc.ru/a851.html;41.477889;54.707694;0
Европа;Предполагаемый;;1.5;http://labmpg.sscc.ru/a671.html;18.5;59.5;0
Азия;Предполагаемый;;3;http://labmpg.sscc.ru/a1314.html;81.016008;50.104642;0
Европа;Неустановленный;;3;http://labmpg.sscc.ru/a2325.html;33.111;49.753;0
Азия;Предполагаемый;;7;http://labmpg.sscc.ru/a1235.html;81.784413;50.054751;0
Северная Америка;Предполагаемый;;0.05;http://labmpg.sscc.ru/a2369.html;-105.19051;42.71181;0
Европа;Предполагаемый;~0.01 (<0.02);9.8;http://labmpg.sscc.ru/a1286.html;30.45;56.96;0
Северная Америка;Вероятный;< 70;4;http://labmpg.sscc.ru/a583.html;-102.134497;49.930714;0
Азия;Предполагаемый;;59;http://labmpg.sscc.ru/a2790.html;128.0291748;43.2422016;0
Европа;Вероятный;542-2500 (1800);10;http://labmpg.sscc.ru/a414.html;17.17;65.58;0
Азия;Предполагаемый;-1450y - -3000y;0.75;http://labmpg.sscc.ru/a1472.html;35.767231;31.515306;0
Азия;Предполагаемый;1940y;0.1;http://labmpg.sscc.ru/a2060.html;50.79637;25.399423;0
Азия;Достоверный;2500-1700 (1600-2500. 2100);11;http://labmpg.sscc.ru/a262.html;78.141614;25.299358;0
Северная Америка;Предполагаемый;~75;3.8;http://labmpg.sscc.ru/a3057.html;-95.8;50.397;0
Европа;Предполагаемый;~0.01 (<0.02);6.4;http://labmpg.sscc.ru/a1283.html;32.462763;56.268528;0
Южная Америка;Предполагаемый;;0.275;http://labmpg.sscc.ru/a2600.html;-61.7204;-37.6332;0
Австралия;Предполагаемый;;;http://labmpg.sscc.ru/a1527.html;128.8;-31.7;0
Европа;Предполагаемый;;1330;http://labmpg.sscc.ru/a1669.html;30.5;52.5;0
Африка;Предполагаемый;;0.45;http://labmpg.sscc.ru/a1905.html;27.004189;23.211043;0
Азия;Предполагаемый;;4.7;http://labmpg.sscc.ru/a1577.html;75.07;49.15;0
Азия;Неустановленный;;2;http://labmpg.sscc.ru/a1021.html;60.763697;56.773217;0
Африка;Опровергнутый;145;4;http://labmpg.sscc.ru/a614.html;26.399555;24.216049;0
Африка;Опровергнутый;145;0.9;http://labmpg.sscc.ru/a614.html;26.37643;24.219852;0
Азия;Неустановленный;;24;http://labmpg.sscc.ru/a2942.html;51.883;55.6683;0
Азия;Неустановленный;;10;http://labmpg.sscc.ru/a2942.html;52.10575;55.761123;0
Северная Америка;Достоверный;393±201 (70-80. 395±25);8;http://labmpg.sscc.ru/a66.html;-106.749529;50.97778;0
Азия;Неустановленный;;12.7;http://labmpg.sscc.ru/a2900.html;138.78479;47.5362106;0
Северная Америка;Неустановленный;0.006-0.02;0.25;http://labmpg.sscc.ru/a237.html;-115.830654;41.152427;0
Северная Америка;Неустановленный;0.006-0.02;0.25;http://labmpg.sscc.ru/a237.html;-115.829403;41.151341;0
Северная Америка;Неустановленный;0.006-0.02;0.25;http://labmpg.sscc.ru/a237.html;-115.823374;41.154292;0
Северная Америка;Неустановленный;0.006-0.02;0.25;http://labmpg.sscc.ru/a237.html;-115.819971;41.157391;0
Северная Америка;Предполагаемый;16-18;32;http://labmpg.sscc.ru/a91.html;-118.392084;33.035378;0
Азия;Вероятный;< 1;0.225;http://labmpg.sscc.ru/a322.html;93.8533;58.9929;0
Азия;Предполагаемый;112;0.24;http://labmpg.sscc.ru/a1006.html;92.396317;58.339325;0
Азия;Неустановленный;;46;http://labmpg.sscc.ru/a2053.html;82.6;71.3;0
Азия;Предполагаемый;146-161;0.5;http://labmpg.sscc.ru/a67.html;74;65;0
Европа;Предполагаемый;~0.01 (<0.02);1;http://labmpg.sscc.ru/a1268.html;35.295287;57.873077;0
Европа;Предполагаемый;0.125?;0.125;http://labmpg.sscc.ru/a296.html;47.6059;56.802683;0
Азия;Предполагаемый;;60;http://labmpg.sscc.ru/a2639.html;103.006983;67.628885;0
Азия;Предполагаемый;;~10;http://labmpg.sscc.ru/a1359.html;83.507;50.08;0
Азия;Предполагаемый;251;4.5;http://labmpg.sscc.ru/a484.html;102.177431;68.699582;0
Азия;Предполагаемый;251;2.3;http://labmpg.sscc.ru/a484.html;102.430269;68.710362;0
Азия;Предполагаемый;N1sr2-N22 (?);70;http://labmpg.sscc.ru/a1258.html;55.609551;46.316494;0
Азия;Вероятный;;60;http://labmpg.sscc.ru/a1234.html;69.760078;53.05427;0
Азия;Достоверный;~0.01 (0.75±0.06 1-8.1p 4-5 0.9±0.1Ar);14;http://labmpg.sscc.ru/a68.html;60.95304;48.36414;0
Азия;Предполагаемый;Q3-Q4 (?);300;http://labmpg.sscc.ru/a560.html;70.4;43.3;0
Азия;Неустановленный;;22 ?;http://labmpg.sscc.ru/a1528.html;90.824216;31.537801;0
Азия;Предполагаемый;;;http://labmpg.sscc.ru/a1354.html;74.220965;47.633644;0
Азия;Предполагаемый;1594.8.1!;0.00093;http://labmpg.sscc.ru/a2825.html;105.7;32.3;0
Европа;Предполагаемый;;2;http://labmpg.sscc.ru/a1701.html;18.01539;49.485942;0
Африка;Предполагаемый;65;1.3;http://labmpg.sscc.ru/a1529.html;24.7681618;-24.6991566;0
Азия;Достоверный;<48 (48.6. 37. 2006y);5.5;http://labmpg.sscc.ru/a460.html;36.806261;31.049651;0
Европа;Предполагаемый;0.001 (19.05.1421!);0.8;http://labmpg.sscc.ru/a1863.html;39.76;57.534;0
Азия;Предполагаемый;616.5.28!;0.0059;http://labmpg.sscc.ru/a2070.html;119.584611;32.519286;0
Азия;Вероятный;мел;0.6;http://labmpg.sscc.ru/a968.html;57.722195;49.183108;0
Южная Америка;Предполагаемый;<1.8 (0.0129);0.35;http://labmpg.sscc.ru/a1807.html;-40.529432;-9.438936;0
Азия;Вероятный;поздний Pz- ранний Mz;20;http://labmpg.sscc.ru/a69.html;74.37;47.6;0
Европа;Предполагаемый;;12;http://labmpg.sscc.ru/a699.html;14.3203354;60.5542411;0
Азия;Предполагаемый;;515;http://labmpg.sscc.ru/a2945.html;109.9578;50.1842;0
Европа;Предполагаемый;~0.01 (<0.02);2.2;http://labmpg.sscc.ru/a1305.html;35.278346;59.515209;0
Европа;Предполагаемый;~0.01 (<0.02);0.2;http://labmpg.sscc.ru/a1305.html;35.293722;59.513282;0
Азия;Предполагаемый;180-230;5;http://labmpg.sscc.ru/a2171.html;50.1079559;20.3742394;0
Европа;Неустановленный;;0.4;http://labmpg.sscc.ru/a2240.html;55.1975976;53.7048871;0
Азия;Предполагаемый;T/J;400;http://labmpg.sscc.ru/a1254.html;85;48.5;0
Азия;Предполагаемый;;1.8;http://labmpg.sscc.ru/a2811.html;37.110207;30.474663;0
Азия;Предполагаемый;;90;http://labmpg.sscc.ru/a2106.html;-178.9;66;0
Северная Америка;Вероятный;500;283;http://labmpg.sscc.ru/a70.html;-63.05;47.1;0
Европа;Предполагаемый;;;http://labmpg.sscc.ru/a1531.html;-5.350412;58.197371;0
Европа;Предполагаемый;~0.01 (<0.02);8.2;http://labmpg.sscc.ru/a1309.html;31.317288;58.782094;0
Азия;Предполагаемый;0.8;30;http://labmpg.sscc.ru/a2962.html;110.5383;21.37194;0
Азия;Предполагаемый;1613.9.21!;0.0031;http://labmpg.sscc.ru/a2338.html;115.800132;37.198656;0
Азия;Предполагаемый;;18;http://labmpg.sscc.ru/a806.html;73.608;47.063;0
Африка;Предполагаемый;;3600;http://labmpg.sscc.ru/a1339.html;1;20;0
Азия;Предполагаемый;;0.3;http://labmpg.sscc.ru/a805.html;74.9946499;49.4161106;0
Азия;Предполагаемый;домезозой-послепалеозой;900;http://labmpg.sscc.ru/a546.html;101;55;0
Азия;Предполагаемый;;2.5;http://labmpg.sscc.ru/a2795.html;71.1388779;70.7618122;0
Азия;Предполагаемый;;1728;http://labmpg.sscc.ru/a2454.html;73;60;0
Европа;Предполагаемый;;25;http://labmpg.sscc.ru/a468.html;32.2;45.47;0
Европа;Достоверный;165±6 K-Ar (169±6. 165±5);3.1;http://labmpg.sscc.ru/a71.html;29.013568;49.668933;0
Европа;Предполагаемый;;64;http://labmpg.sscc.ru/a2484.html;65.51;68.66;0
Азия;Неустановленный;;7;http://labmpg.sscc.ru/a3046.html;97.1115;44.6455;0
Европа;Предполагаемый;~0.01 (<0.02);2.5;http://labmpg.sscc.ru/a1293.html;35.402898;57.76446;0
Европа;Неустановленный;;;http://labmpg.sscc.ru/a1533.html;3.8;51.4;0
Европа;Достоверный;80±20 (120±20);1.4;http://labmpg.sscc.ru/a72.html;32.931286;48.75889;0
Антарктида;Предполагаемый;~250 (<23 Neogene);243;http://labmpg.sscc.ru/a73.html;140;-71.6;0
Антарктида;Неустановленный;250;480;http://labmpg.sscc.ru/a1054.html;141.5;-69.4;0
Антарктида;Предполагаемый;;30;http://labmpg.sscc.ru/a1939.html;-83.372486;-73.938022;0
Азия;Неустановленный;2500;200;http://labmpg.sscc.ru/a2522.html;128.2;54.6;0
Европа;Неустановленный;;;http://labmpg.sscc.ru/a1532.html;5.3;52.7;0
Европа;Вероятный;-11700y;0.5;http://labmpg.sscc.ru/a3020.html;13.896954;53.2005573;0
Африка;Предполагаемый;;1048;http://labmpg.sscc.ru/a2533.html;-12.78;23.1;0
Африка;Предполагаемый;;176;http://labmpg.sscc.ru/a2534.html;-12.456;22.7488;0
Европа;Предполагаемый;;132;http://labmpg.sscc.ru/a994.html;8.7734;52.9316;0
Азия;Предполагаемый;;120;http://labmpg.sscc.ru/a2641.html;101.251076;54.045212;0
Азия;Предполагаемый;36;3.5;http://labmpg.sscc.ru/a2034.html;60.0259494;28.4863061;0
Европа;Предполагаемый;~0.01 (<0.02);1.24;http://labmpg.sscc.ru/a1279.html;37.9;56.824;0
Азия;Вероятный;0.0115;0.05;http://labmpg.sscc.ru/a1122.html;85.33388;32.04454;0
Тихий океан;Предполагаемый;;5000;http://labmpg.sscc.ru/a518.html;120;8.5;0
Южная Америка;Неустановленный;;2;http://labmpg.sscc.ru/a2033.html;-61.77956;-19.8691;0
Южная Америка;Неустановленный;;1.5;http://labmpg.sscc.ru/a2033.html;-61.75072;-19.93236;0
Южная Америка;Неустановленный;;2;http://labmpg.sscc.ru/a2033.html;-61.76823;-19.98303;0
Азия;Предполагаемый;;15.5;http://labmpg.sscc.ru/a2098.html;40.770972;22.878417;0
Азия;Предполагаемый;;18;http://labmpg.sscc.ru/a2272.html;95.6698;49.16714;0
Азия;Предполагаемый;;8.5;http://labmpg.sscc.ru/a2272.html;95.50967;49.3379;0
Африка;Предполагаемый;140;2.5;http://labmpg.sscc.ru/a1123.html;20.838268;21.572027;0
Африка;Неустановленный;< 300;350;http://labmpg.sscc.ru/a1453.html;-11;20;0
Европа;Вероятный;<250.0;5;http://labmpg.sscc.ru/a612.html;16.38;55.45;0
Европа;Неустановленный;;60;http://labmpg.sscc.ru/a2104.html;34.92;61.19;0
Азия;Вероятный;35-40 (100);50 (27);http://labmpg.sscc.ru/a1014.html;99.787051;55.394594;0
Северная Америка;Достоверный;< 65;17;http://labmpg.sscc.ru/a74.html;-110.5;49.7;0
Азия;Предполагаемый;;80;http://labmpg.sscc.ru/a2626.html;93.4716797;72.7640647;0
Азия;Предполагаемый;;65;http://labmpg.sscc.ru/a2712.html;102.102;73.384;0
Европа;Предполагаемый;;2.9;http://labmpg.sscc.ru/a1443.html;-7.200059;39.973752;0
Африка;Предполагаемый;;0.01;http://labmpg.sscc.ru/a2814.html;-7.523966;30.300405;0
Африка;Предполагаемый;;0.03;http://labmpg.sscc.ru/a2814.html;-7.52333;30.301389;0
Европа;Предполагаемый;;2;http://labmpg.sscc.ru/a300.html;28.800268;56.305156;0
Азия;Предполагаемый;;14;http://labmpg.sscc.ru/a1889.html;34.989132;30.940452;0
Европа;Вероятный;;6;http://labmpg.sscc.ru/a628.html;24.2;69.66;0
Европа;Вероятный;0.01;0.37;http://labmpg.sscc.ru/a1179.html;45.21219;56.55902;0
Австралия;Предполагаемый;;1200;http://labmpg.sscc.ru/a1346.html;121;-27;0
Азия;Вероятный;0.046-0.053;1.85;http://labmpg.sscc.ru/a3017.html;129.311;46.385;0
Африка;Предполагаемый;;17.5;http://labmpg.sscc.ru/a1155.html;1.11276;18.471164;0
Азия;Неустановленный;;1.3;http://labmpg.sscc.ru/a1224.html;76.74;44.6556;0
Европа;Достоверный;0.007 C (0.0059-0.0067. >0.002);0.08;http://labmpg.sscc.ru/a75.html;27.417092;57.966997;0
Европа;Достоверный;0.0059-0.0067 (>0.002);0.05;http://labmpg.sscc.ru/a75.html;27.400838;57.953882;0
Европа;Достоверный;0.0059-0.0067 (>0.002);0.024;http://labmpg.sscc.ru/a75.html;27.385441;57.960286;0
Европа;Предполагаемый;0.0059-0.0067;0.024;http://labmpg.sscc.ru/a75.html;27.397644;57.960897;0
Северная Америка;Достоверный;<1800 (<300);4;http://labmpg.sscc.ru/a76.html;-73.879648;50.680683;0
Европа;Достоверный;445±10 Ar (378±5*. 370-395р. 395±5);4.5;http://labmpg.sscc.ru/a77.html;29.093733;49.100991;0
Европа;Предполагаемый;;1.3;http://labmpg.sscc.ru/a903.html;37.7996635;61.5538641;0
Европа;Предполагаемый;;0.8;http://labmpg.sscc.ru/a903.html;37.8739929;61.5375063;0
Австралия;Вероятный;501 (513);15;http://labmpg.sscc.ru/a868.html;127.422495;-28.35308;0
Европа;Неустановленный;0.0385 (~0.013 ?);200;http://labmpg.sscc.ru/a2041.html;31.2822;58.1375;0
Южная Америка;Достоверный;Found 1822 AD;0.008;http://labmpg.sscc.ru/a321.html;-68.799773;-24.194525;0
Африка;Предполагаемый;;0.02;http://labmpg.sscc.ru/a2828.html;-5.5116901;31.7626686;0
Центральная Америка;Предполагаемый;20;2.2;http://labmpg.sscc.ru/a1534.html;-79.50799;8.999816;0
Африка;Предполагаемый;Quaternary;04.сен;http://labmpg.sscc.ru/a2718.html;11.2451935;23.1075231;0
Азия;Предполагаемый;136±5;5.5;http://labmpg.sscc.ru/a485.html;124.943;58.546;0
Южная Америка;Вероятный;;6;http://labmpg.sscc.ru/a697.html;-50.975894;-8.670501;0
Европа;Предполагаемый;;190;http://labmpg.sscc.ru/a2965.html;28.61;69.14;0
Африка;Предполагаемый;;460;http://labmpg.sscc.ru/a2972.html;13.66;-4.9461;0
Северная Америка;Предполагаемый;;2;http://labmpg.sscc.ru/a2757.html;-85.837;39.9465;0
Азия;Предполагаемый;;12;http://labmpg.sscc.ru/a486.html;134.149855;57.971824;0
Азия;Предполагаемый;;20;http://labmpg.sscc.ru/a2340.html;134.889455;57.488903;0
Азия;Предполагаемый;;5.5;http://labmpg.sscc.ru/a2341.html;135.246059;56.582489;0
Северный Ледовитый океан;Предполагаемый;~1900;35;http://labmpg.sscc.ru/a2695.html;-58.51;78.282;0
Северная Америка;Достоверный;200±100;0.6;http://labmpg.sscc.ru/a1708.html;-87.645859;36.522684;0
Центральная Америка;Неустановленный;;5735;http://labmpg.sscc.ru/a1645.html;-87;39;0
Индийский океан;Предполагаемый;-2800y;;http://labmpg.sscc.ru/a2217.html;50;-19.6;0
Австралия;Предполагаемый;;2400;http://labmpg.sscc.ru/a1345.html;131;-15;0
Азия;Предполагаемый;;750;http://labmpg.sscc.ru/a1337.html;103.5;15.5;0
Азия;Неустановленный;;400;http://labmpg.sscc.ru/a2102.html;75.5;25;0
Азия;Неустановленный;;600;http://labmpg.sscc.ru/a2102.html;82.9;20.8;0
Азия;Неустановленный;;300;http://labmpg.sscc.ru/a2102.html;79.9;15.5;0
;Предполагаемый;;;http://labmpg.sscc.ru/a2832.html;;;0
Азия;Неустановленный;;800;http://labmpg.sscc.ru/a2453.html;46.05;53.85;0
Африка;Предполагаемый;;2.7;http://labmpg.sscc.ru/a1956.html;8.693386;19.13683;0
Азия;Неустановленный;;15;http://labmpg.sscc.ru/a2901.html;140.0808334;48.5059146;0
Европа;Предполагаемый;;;http://labmpg.sscc.ru/a1536.html;11.401654;47.193913;0
Азия;Предполагаемый;;20;http://labmpg.sscc.ru/a259.html;70.876913;48.954224;0
Южная Америка;Предполагаемый;1972.12.27!;;http://labmpg.sscc.ru/a2229.html;-54.5;-25.5;0
Азия;Предполагаемый;;4458;http://labmpg.sscc.ru/a2462.html;59;34;0
Азия;Неустановленный;;24;http://labmpg.sscc.ru/a2740.html;49.52877;34.8107;0
Азия;Предполагаемый;;260;http://labmpg.sscc.ru/a2523.html;52.662;34.293;0
Азия;Предполагаемый;;576;http://labmpg.sscc.ru/a2524.html;57.345;34.962;0
Европа;Неустановленный;;0.5;http://labmpg.sscc.ru/a1535.html;43.997687;42.920279;0
Европа;Неустановленный;T/J;100;http://labmpg.sscc.ru/a1251.html;-12;53;0
Европа;Неустановленный;200;45;http://labmpg.sscc.ru/a2075.html;-5;55.1;0
Европа;Неустановленный;;1;http://labmpg.sscc.ru/a2258.html;29.8648;50.2224;0
Европа;Неустановленный;;0.15;http://labmpg.sscc.ru/a2344.html;28.7877;50.6758;0
Азия;Предполагаемый;~ 0.002;0.77;http://labmpg.sscc.ru/a410.html;50.0646973;18.1643654;0
Азия;Предполагаемый;1064y;0.00092;http://labmpg.sscc.ru/a2825.html;119.8;31.4;0
Европа;Предполагаемый;;;http://labmpg.sscc.ru/a1538.html;-19;64.9;0
Африка;Неустановленный;-40.000y;0.95;http://labmpg.sscc.ru/a2023.html;-5.541754;32.210187;0
Европа;Предполагаемый;1.88;2;http://labmpg.sscc.ru/a1445.html;22.002194;62.281667;0
Европа;Предполагаемый;2.014;2;http://labmpg.sscc.ru/a1446.html;23.454975;60.182911;0
Европа;Достоверный;1200-900 (>1000 1200 600-1000);3;http://labmpg.sscc.ru/a78.html;27.133111;62.199194;0
Европа;Неустановленный;;4;http://labmpg.sscc.ru/a1246.html;30;63.3;0
Европа;Неустановленный;;2;http://labmpg.sscc.ru/a698.html;23.92;62.92;0
Европа;Неустановленный;;193;http://labmpg.sscc.ru/a1394.html;-5.3;43.2;0
Азия;Предполагаемый;839;;http://labmpg.sscc.ru/a2345.html;133.99905;34.700208;0
Южная Америка;Предполагаемый;<1.8 (0.0129);0.03;http://labmpg.sscc.ru/a1820.html;-37.447216;-10.731046;0
Азия;Предполагаемый;1900y;0.12;http://labmpg.sscc.ru/a2758.html;119.7947;54.4752;0
Южная Америка;Предполагаемый;<1.8 (0.0129);1;http://labmpg.sscc.ru/a1813.html;-50;-10;0
Южная Америка;Вероятный;0.011-0.032;9;http://labmpg.sscc.ru/a79.html;-67.674417;-12.587417;0
Азия;Неустановленный;;6.2;http://labmpg.sscc.ru/a2319.html;47.132;36.779;0
Азия;Достоверный;430 (460);350;http://labmpg.sscc.ru/a80.html;69.63;51.55;0
Азия;Неустановленный;;5;http://labmpg.sscc.ru/a2032.html;107.014871;13.729689;0
Северная Америка;Неустановленный;;400;http://labmpg.sscc.ru/a1635.html;-110.5;44;0
Азия;Вероятный;;;http://labmpg.sscc.ru/a1539.html;44.898051;12.801282;0
Европа;Предполагаемый;;;http://labmpg.sscc.ru/a1530.html;15.1;49.1;0
Северная Америка;Неустановленный;;~100;http://labmpg.sscc.ru/a1643.html;-119.7;37.8;0
Европа;Достоверный;0.00324 C (0.004±0.001. 0.076. -385y);0.11;http://labmpg.sscc.ru/a81.html;22.669376;58.372792;0
Европа;Достоверный;0.004±0.001 (-385y);0.039;http://labmpg.sscc.ru/a2608.html;22.66473;58.371215;0
Европа;Достоверный;0.004±0.001 (-385y);0.027;http://labmpg.sscc.ru/a81.html;22.673067;58.36741;0
Европа;Достоверный;0.004±0.001 (-385y);0.033;http://labmpg.sscc.ru/a81.html;22.677277;58.366712;0
Европа;Достоверный;0.004±0.001 (-385y);0.02;http://labmpg.sscc.ru/a2609.html;22.675289;58.37197;0
Европа;Достоверный;0.004±0.001 (-385y);0.013;http://labmpg.sscc.ru/a81.html;22.67553;58.370823;0
Европа;Достоверный;0.004±0.001 (-385y);0.026;http://labmpg.sscc.ru/a81.html;22.663256;58.370357;0
Европа;Достоверный;0.004±0.001 (-385y);0.015;http://labmpg.sscc.ru/a81.html;22.671754;58.370252;0
Европа;Достоверный;0.004±0.001 (-385y);0.036;http://labmpg.sscc.ru/a81.html;22.673139;58.367387;0
Атлантический океан;Неустановленный;;400;http://labmpg.sscc.ru/a1633.html;-24;16;0
Центральная Америка;Неустановленный;;500;http://labmpg.sscc.ru/a1646.html;-97.3;21.5;0
Южная Америка;Предполагаемый;;;http://labmpg.sscc.ru/a1059.html;-56.859892;-36.733084;0
Европа;Вероятный;0.01;0.217;http://labmpg.sscc.ru/a99.html;3.1305;43.536221;0
Европа;Предполагаемый;0.01;0.045;http://labmpg.sscc.ru/a1628.html;3.133075;43.533627;0
Северная Америка;Предполагаемый;;120;http://labmpg.sscc.ru/a2834.html;77.7;11.7;0
Европа;Предполагаемый;;;http://labmpg.sscc.ru/a1131.html;7.374504;44.781872;0
Европа;Неустановленный;1.84;0.25;http://labmpg.sscc.ru/a1540.html;25.881519;60.278874;0
Европа;Предполагаемый;;;http://labmpg.sscc.ru/a2346.html;-3.6;57.1;0
Африка;Предполагаемый;;;http://labmpg.sscc.ru/a2347.html;-11.400235;14.40182;0
Южная Америка;Предполагаемый;<1.8 (0.0129);0.35;http://labmpg.sscc.ru/a1803.html;-35.114589;-7.949273;0
Европа;Предполагаемый;;0.7;http://labmpg.sscc.ru/a289.html;38.3;49.9;0
Европа;Предполагаемый;;10.5;http://labmpg.sscc.ru/a703.html;27.68;68.95;0
Азия;Предполагаемый;;2;http://labmpg.sscc.ru/a2242.html;67.72848;51.92447;0
Азия;Предполагаемый;;900;http://labmpg.sscc.ru/a377a.html;63;53;0
Азия;Вероятный;;350;http://labmpg.sscc.ru/a257.html;71.378;45.883;0
Азия;Предполагаемый;;0;http://labmpg.sscc.ru/a2348.html;48.301405;14.998447;0
Африка;Предполагаемый;2007y;;http://labmpg.sscc.ru/a2349.html;31.400156;30.000293;0
Европа;Предполагаемый;;;http://labmpg.sscc.ru/a1091.html;7.673951;48.098039;0
Европа;Предполагаемый;;12;http://labmpg.sscc.ru/a702.html;30.783377;62.968631;0
