kml_name;kml_description;longitude;latitude;height
Newall Glacier Snow Pit and Ice Core, 1987 to 1989;http://nsidc.org/data/nsidc-0088.html;162.5189662130338;-77.599123885814;0
Dronning Maud Land, Antarctica, Ice Core, 1991 and 1992;http://nsidc.org/data/nsidc-0089.html;-2.052698144949005;-75.01031277134285;0
Central West Antarctic Glaciochemistry from Ice Cores;http://nsidc.org/data/nsidc-0093.html;-120.0099912406715;-79.9916538958267;0
Decadal-Length Composite West Antarctic Air Temperature Records (Byrd);http://nsidc.org/data/nsidc-0097.html;-120.0102614301522;-79.99166330561773;0
Decadal-Length Composite West Antarctic Air Temperature Records (Siple Dome);http://nsidc.org/data/nsidc-0097.html;-148.8144477898383;-81.65759708087097;0
Firn Air Isotope and Temperature Measurements from Siple Dome and South Pole;http://nsidc.org/data/nsidc-0098.html;90.82081929408064;-89.98;0
Ice Thickness and Surface Elevation, Southeastern Ross Embayment, West Antarctica;http://nsidc.org/data/nsidc-0099.html;-120.0105407382298;-79.9916741998165;0
Images of Antarctic Ice Shelves Main Page;http://nsidc.org/data/nsidc-0102.html;167.6032768544182;-78.07461347671547;0
Ice Velocity Data from Ice Stream C, West Antarctica;http://nsidc.org/data/nsidc-0106.html;-145.6314260335903;-82.32347723998782;0
Concentration and Isotopic Composition of O2 and N2 in Trapped Gases of the Vostok Ice Core;http://nsidc.org/data/nsidc-0107.html;106.8672729355476;-78.46674319152281;0
Carbon-Isotopic Composition of Atmospheric CO2 since the Last Glacial Maximum;http://nsidc.org/data/nsidc-0108.html;157.6997591122583;-77.79984938765962;0
Three-Hourly Antarctic Automatic Weather Station Data, 1980-2000;http://nsidc.org/data/nsidc-0111.html;167.5874125380431;-78.08432623887603;0
Micrometeorites from the South Pole Water Well;http://nsidc.org/data/nsidc-0113.html;90.5269644766369;-89.97877236145246;0
Blue Ice Tephra II - Brimstone Peak;http://nsidc.org/data/nsidc-0114.html;158.55;-75.888;0
Blue Ice Tephra II - Mt. DeWitt;http://nsidc.org/data/nsidc-0115.html;159.51;-77.12;0
Surface Elevation and Ice Thickness, Western Marie Byrd Land, Antarctica;http://nsidc.org/data/nsidc-0119.html;-120.0107508241012;-79.99167857952247;0
WAISCORES: Deep Ice Coring in West Antarctica;http://nsidc.org/data/nsidc-0120.html;-148.8146029349635;-81.65768289635426;0
Visible Stratigraphic Dating, Siple Dome and Upstream C Cores;http://nsidc.org/data/nsidc-0121.html;-143.3344873537537;-82.16630236001363;0
Snow-Atmosphere Transfer Function for Reversibly Deposited Chemical Species in West Antarctica;http://nsidc.org/data/nsidc-0122.html;-148.8146428412205;-81.65772590739026;0
Siple Dome Core Date from Measurement of the d18O of Paleoatmospheric O2;http://nsidc.org/data/nsidc-0123.html;-148.8146837904451;-81.65781891634732;0
Siple Dome Methane Record;http://nsidc.org/data/nsidc-0124.html;-148.8147566037037;-81.65790990135844;0
Volcanic Records in the Siple and Taylor Dome Ice Cores(Collaborative Research UMaine and New Mexico Tech);http://nsidc.org/data/nsidc-0126.html;157.699651193703;-77.79995270607988;0
Volcanic Records in the Siple and Taylor Dome Ice Cores(Collaborative Research UMaine and New Mexico Tech);http://nsidc.org/data/nsidc-0126.html;-148.814815252449;-81.65800941544467;0
Digital Images of Thin Sections from Siple Dome;http://nsidc.org/data/nsidc-0127.html;-148.8149849649683;-81.65810198273199;0
Physical and Structural Properties of the Siple Dome Ice Cores;http://nsidc.org/data/nsidc-0128.html;-148.8150468757199;-81.65820702516035;0
Siple Shallow Core Density Data;http://nsidc.org/data/nsidc-0129.html;-148.8151058188579;-81.65826238055676;0
Siple Dome Ice Core Age-Depth Scales;http://nsidc.org/data/nsidc-0130.html;-148.8151252296707;-81.65828898669612;0
Analysis of Siple Dome Ice Core Subsamples;http://nsidc.org/data/nsidc-0131.html;-148.815174917941;-81.65836040146756;0
Taylor Dome Ice Core Data;http://nsidc.org/data/nsidc-0132.html;157.7001138334614;-77.79991825513797;0
Siple Dome Cores Electrical Measurement Data;http://nsidc.org/data/nsidc-0133.html;-148.8153551191512;-81.6582318931785;0
Siple Dome Highlights: Stable isotopes;http://nsidc.org/data/nsidc-0134.html;-148.8151162192785;-81.65784310913376;0
Roosevelt Island Ice Core Density and Beta Count Data;http://nsidc.org/data/nsidc-0139.html;-161.7806023738674;-79.38933215538071;0
Roosevelt Island Bedrock and Surface Elevations;http://nsidc.org/data/nsidc-0140.html;-161.9260192274126;-79.36763815417538;0
Ice Motion and Topography Near Margin Areas of Kamb Ice Stream, Antarctica;http://nsidc.org/data/nsidc-0141.html;-148.402633450328;-82.62079160645378;0
Biogenic Sulfur in the Siple Dome Ice Core;http://nsidc.org/data/nsidc-0201.html;-148.815656123139;-81.65817305568345;0
Atmospheric CO2 Trapped in the Ice Core from Siple Dome, Antarctica;http://nsidc.org/data/nsidc-0202.html;-148.8156946938137;-81.65822567769038;0
Sulfate-Based Volcanic Record from South Pole Ice Core;http://nsidc.org/data/nsidc-0215.html;91.45730480062377;-89.97771486505394;0
Antarctic Aerogeophysics Data;http://nsidc.org/data/nsidc-0240.html;-120.0112138437755;-79.99169543439115;0
Vostok Ice Core Chemistry, Timescale, Isotope, and Temperature Data;http://nsidc.org/data/nsidc-0242.html;106.86666;-78.46666;0
Dome C Ice Core Chemistry and Depth and Age Scale Data;http://nsidc.org/data/nsidc-0243.html;123.3334808609781;-75.09989280376757;0
European Project for Ice Coring in Antarctica (EPICA) Dome C Ice Core Data;http://nsidc.org/data/nsidc-0244.html;123.333333;-75.1;0
Law Dome Ice Cores Chemistry Data;http://nsidc.org/data/nsidc-0245.html;112.833333;-66.733333;0
Taylor Dome Ice Core Data;http://nsidc.org/data/nsidc-0246.html;157.7;-77.8;0
Byrd Ice Core Microparticle and Chemistry Data;http://nsidc.org/data/nsidc-0247.html;-120.011662107459;-79.9917074099483;0
Dominion Range Ice Core Beta Profiles, Chemistry, and Density Data;http://nsidc.org/data/nsidc-0248.html;166.033;-85.05;0
Newall Glacier Ice Core and Snow Pit Beta Profiles, Chemistry, and Stratigraphy;http://nsidc.org/data/nsidc-0249.html;162.5;-77.6;0
Dronning Maud Land Ice Core Chemistry Data;http://nsidc.org/data/nsidc-0250.html;-2.052687153469776;-75.01031740087683;0
Siple Dome Ice Core Chemistry and Ion Data;http://nsidc.org/data/nsidc-0251.html;-148.8151675709011;-81.6583141238196;0
Talos Dome Ice Core Deuterium Isotope Data;http://nsidc.org/data/nsidc-0252.html;159.1;-72.48000000000002;0
Antarctic and Greenland Climate Change Comparison (Byrd);http://nsidc.org/data/nsidc-0253.html;-120.011933296629;-79.99172208312977;0
Antarctic and Greenland Climate Change Comparison (Vostok);http://nsidc.org/data/nsidc-0253.html;106.8669319098131;-78.46670337561144;0
US International Trans-Antarctic Scientific Expedition 400 MHz Subsurface Radar Profiles;http://nsidc.org/data/nsidc-0254.html;-120.0122706697005;-79.99173642473792;0
Ice Fabric Characteristics: Siple Dome, A Core;http://nsidc.org/data/nsidc-0255.html;-148.8157396272281;-81.65828378683922;0
Margin Migration Rates and Dynamics: Siple Coast Ice Streams;http://nsidc.org/data/nsidc-0263.html;-137.6302220252842;-83.52943739392317;0
Ice Thickness and Internal Layer Depth Along the 2001 and 2002 US ITASE Traverses;http://nsidc.org/data/nsidc-0264.html;-120.0130254463423;-79.99177763806398;0
Ross Ice Drainage System (RIDS) Glaciochemical Analysis;http://nsidc.org/data/nsidc-0266.html;-120.012658557758;-79.9917508666595;0
US International Trans-Antarctic Scientific Expedition (US ITASE): GPR Profiles and Accumulation Mapping;http://nsidc.org/data/nsidc-0269.html;-120.0137014335819;-79.99181113989016;0
US International Trans-Antarctic Scientific Expedition (US ITASE) Glaciochemical Data;http://nsidc.org/data/nsidc-0273.html;-120.0149746108028;-79.99188638599293;0
Compilation of Antarctic Radar Data, Siple Coast, 2000-2002;http://nsidc.org/data/nsidc-0274.html;-150.9869770521059;-82.22091450686115;0
Analysis of Siple Dome Ice Core: Carbonyl Sulfide (COS), Methyl Chloride (CH3Cl), and Methyl Bromide (CH3Br);http://nsidc.org/data/nsidc-0279.html;-148.8152915388794;-81.65842675077559;0
GPR and GPS Data: Characteristics of Snow Megadunes and their Potential Effects on Ice Core Interpretation;http://nsidc.org/data/nsidc-0282.html;124.43;-80.78;0
AWS Data: Characteristics of Snow Megadunes and Their Potential Effect on Ice Core Interpretation;http://nsidc.org/data/nsidc-0283.html;124.43;-80.78;0
Firn Air Inert Gas and Oxygen Observations from Siple Dome, 1996, and the South Pole, 2001;http://nsidc.org/data/nsidc-0290.html;77.9548291209671;-89.99999725538112;0
Images of Wilkins Ice Shelf;Images of Antarctic Ice Shelveshttp://nsidc.org/data/iceshelves_images/wilkins.html;-73.19100391862494;-70.45440453859234;0
Images of West Ice Shelf;Images of Antarctic Ice Shelveshttp://nsidc.org/data/iceshelves_images/west.html;85.03416427438233;-66.89071921525273;0
Images of the Shackleton Ice Shelf;Images of Antarctic Ice Shelveshttp://nsidc.org/data/iceshelves_images/shackleton.html;97.60264089400151;-65.97041796059209;0
Images of Sabrina Coast;Images of Antarctic Ice Shelveshttp://nsidc.org/data/iceshelves_images/sabrina.html;102.1471393318688;-67.07284901013352;0
Images of W. Ross Ice Shelf;Images of Antarctic Ice Shelveshttp://nsidc.org/data/iceshelves_images/ross_west.html;177.3111754457549;-78.61538692792709;0
Images of E. Ross Ice Shelf;Images of Antarctic Ice Shelveshttp://nsidc.org/data/iceshelves_images/ross_east.html;-164.8166207644887;-78.87452330049146;0
Images of W. Ronne Ice Shelf;Images of Antarctic Ice Shelveshttp://nsidc.org/data/iceshelves_images/ronne_west.html;-60.26394643493889;-78.16893793042964;0
Images of E. Ronne-Filchner Ice Shelf;Images of Antarctic Ice Shelveshttp://nsidc.org/data/iceshelves_images/ronne_east.html;-46.26945859039854;-78.5799730188885;0
Images of Riiser-Larsen Ice Shelf;Images of Antarctic Ice Shelveshttp://nsidc.org/data/iceshelves_images/riiser.html;-16.69138060368223;-73.15677998260117;0
Images of Porpoise Bay;Images of Antarctic Ice Shelveshttp://nsidc.org/data/iceshelves_images/porpoise.html;126.9046120122785;-66.95776532724503;0
Images of Pine Island Bay;Images of Antarctic Ice Shelveshttp://nsidc.org/data/iceshelves_images/pine.html;-101.9416054627416;-75.13299751434714;0
Images of Mertz Ice Shelf;Images of Antarctic Ice Shelveshttp://nsidc.org/data/iceshelves_images/mertz.html;144.4320723372704;-68.06760264940588;0
Images of Larsen C Ice Shelf;Images of Antarctic Ice Shelveshttp://nsidc.org/data/iceshelves_images/larsenc.html;-61.8130078335001;-66.67881678925986;0
Images of the Larsen A Ice Shelf;Images of Antarctic Ice Shelveshttp://nsidc.org/data/iceshelves_images/index.html;-60.07756334418279;-64.81743293999723;0
Images of Larsen B Ice Shelf;Images of Antarctic Ice Shelveshttp://nsidc.org/data/iceshelves_images/larsenb.html;-61.09049263966115;-65.46913890680268;0
Images of West Getz Ice Shelf;Images of Antarctic Ice Shelveshttp://nsidc.org/data/iceshelves_images/getz_west.html;-129.7380649438634;-74.56277867962541;0
Images of East Getz Ice Shelf;Images of Antarctic Ice Shelveshttp://nsidc.org/data/iceshelves_images/getz_east.html;-124.4283923579484;-74.44959531184604;0
Images of Fimbul Ice Shelf;Images of Antarctic Ice Shelveshttp://nsidc.org/data/iceshelves_images/fimbul.html;-0.2101102948374063;-70.17089356933953;0
Images of Abbot Ice Shelf;Images of Antarctic Ice Shelveshttp://nsidc.org/data/iceshelves_images/abbot.html;-96.51895577389936;-72.59397653537685;0
Images of Amery Ice Shelf;Images of Antarctic Ice Shelveshttp://nsidc.org/data/iceshelves_images/amery.html;70.2180050418975;-71.30498275333501;0
Mosaic of Antarctica (MOA);MODIS Mosaic of Antarctica (MOA) Image Maphttp://nsidc.org/data/nsidc-0280.html;167.6194899934835;-78.06156336698626;0
