Location name;Year;Month;Day;Country;Focal Depth;EQ Primary;Flag Tsunami;Deaths;Injuries;Missing;Missing Description;Houses destroyed;Houses damaged;Damage (in M$);Damage Description;Lat;Lon;Height
MEXICO:  GUERRERO;1887;08;29;MEXICO;;;;;;;;;;;SEVERE (~>$5 to $24 million);17.7;-100;0
TURKEY;1888;09;22;TURKEY;;6.1;;;;;;;;;MODERATE (~$1 to $5 million);41.3;43.3;0
ALGERIA:  BOURAVA, GOURAYA;1891;01;15;ALGERIA;;;Tsunami;36;;;;75;;;MODERATE (~$1 to $5 million);36.5;1.8;0
PHILIPPINES:  LUZON:  ABRA,PANGASINAN,UNION;1892;03;16;PHILIPPINES;;;;2;;;;;;;SEVERE (~>$5 to $24 million);17.3;120.6;0
VENEZUELA:  CARACHE;1894;11;04;VENEZUELA;;;;;;;;;;;MODERATE (~$1 to $5 million);9.4;-70.1;0
NEW ZEALAND: WELLINGTON;1897;09;21;NEW ZEALAND;;;Tsunami;;;;;;;;;;;0
CHINA: XINJIANG;1898;06;21;CHINA;;6;;47;85;;;425;;;MODERATE (~$1 to $5 million);39.8;76.6;0
ITALY;1898;06;27;ITALY;;;;;;;;;;;MODERATE (~$1 to $5 million);42.4;13;0
GREECE:  KYPARISSIA (MESSINIA);1899;01;22;GREECE;;6.6;Tsunami;;;;;;;;;37.25;21.75;0
SEIKAIDO, JAPAN;1899;11;25;JAPAN;;;Tsunami;;;;;;;;;31.9;132;0
COSTA RICA;1900;06;21;COSTA RICA;60;7.5;;;;;;;;;;10;-85.5;0
SOLOMON ISLANDS:  SANTA CRUZ ISLANDS;1900;07;29;SOLOMON ISLANDS;33;7.6;;;;;;;;;;-10;165;0
MEXICO:  GUERRERO;1902;01;16;MEXICO;;7;;2;;;;;;;MODERATE (~$1 to $5 million);17.6;-99.7;0
TONGA ISLANDS;1903;01;04;TONGA;400;8;;;;;;;;;;-20;-175;0
GREECE:  MITATA (KYTHERA);1903;08;11;GREECE;100;7.8;;2;;;;;;;SEVERE (~>$5 to $24 million);36;23;0
KERMADEC ISLANDS;1905;03;18;KERMADEC ISLANDS (NEW ZEALAND);60;7.5;;;;;;;;;;-27.5;-173;0
VANUATU:  MALO PASS;1905;03;19;VANUATU;;;Tsunami;;;;;;;;;-15.6;167.2;0
CHINA:  YUNNAN PROVINCE;1909;05;11;CHINA;;6.5;;21;;;;;;;MODERATE (~$1 to $5 million);24.4;103;0
ITALY:  CENTRAL;1909;08;24;ITALY;;;;;;;;;;;;43.2;11.5;0
ITALY:  SICILY;1909;10;21;ITALY;5;;;;;;;;;;;37.7;15.2;0
IRAN:  RAVAR;1911;04;18;IRAN;50;6.7;;700;;;;;;;SEVERE (~>$5 to $24 million);31.23;57.03;0
AFGHANISTAN:  HINDU KUSH;1911;07;04;AFGHANISTAN;190;7.6;;;;;;;;;;36;70.5;0
ICELAND;1912;05;06;ICELAND;60;7.5;;;;;;;;;;64;-20;0
TURKEY:  BURDUR, KILINC, KECIBORLU, ISPARTA;1914;10;03;TURKEY;;7;;4000;700;;;17000;;;EXTREME (~$25 million or more);37.82;30.27;0
JAPAN:  DUDA;1916;02;01;JAPAN;33;8;;;;;;;;;;29.5;131.5;0
ALASKA:  ALEUTIAN ISLANDS;1916;02;06;USA;60;7.7;;;;;;;;;;48.5;178.5;0
ITALY:  STROMBOLI ISLAND;1916;07;03;ITALY;;5.1;Tsunami;;;;;;;;LIMITED (roughly corresponding to less than $1 million);38.817;15.233;0
ITALY:  CARRARA,GARFAGNANA;1920;09;07;ITALY;10;5.8;;1400;;;;;;;;44.3;10.3;0
PERU:  CARAVELI;1922;10;11;PERU;;7.4;;;;;;;;;MODERATE (~$1 to $5 million);-16;-72.5;0
RUSSIA:  KURIL ISLANDS;1922;10;24;RUSSIA;90;7.5;;;;;;;;;LIMITED (roughly corresponding to less than $1 million);47;151.8;0
ITALY:  CENTRAL;1923;05;09;ITALY;;;;;;;;;;;;43.7;12;0
KASHIMA, JAPAN;1923;06;01;JAPAN;40;;Tsunami;;;;;;;;;35.4;141.8;0
ITALY:  N;1925;12;04;ITALY;;;;;;;;;;;;44.2;12.2;0
GREECE:  OETYLOS (LACONIA);1927;07;01;GREECE;120;7.3;;;;;;;;;;36.75;22.75;0
KASHIMA, JAPAN;1927;08;18;JAPAN;20;6.9;Tsunami;;;;;;;;;34.2;142;0
PHILIPPINES:  MINDANAO:  HINATUAN,EBRO;1929;06;13;PHILIPPINES;;7.2;Tsunami;;;;;;;;MODERATE (~$1 to $5 million);8.5;127;0
CHILE;1929;10;19;CHILE;100;7.5;;;;;;;;;;-23;-69;0
ARGENTINA:  LA POMA;1930;12;24;ARGENTINA;30;6;;39;;;;;;;SEVERE (~>$5 to $24 million);-24.7;-66.3;0
CHINA:  SICHUAN PROVINCE;1932;;;CHINA;;5;;;;;;;;;LIMITED (roughly corresponding to less than $1 million);31.8;102.2;0
SOLOMON ISLANDS:  SANTA CRUZ ISLANDS;1934;07;18;SOLOMON ISLANDS;35;7.8;Tsunami;;;;;;;;;-11.907;166.731;0
CHINA:  SICHUAN PROVINCE;1935;12;18;CHINA;;6;Tsunami;100;;;;;;;MODERATE (~$1 to $5 million);28.7;103.6;0
CHINA:  GANSU PROVINCE;1936;08;01;CHINA;;6;;115;31;;;4459;;;SEVERE (~>$5 to $24 million);34.2;105.7;0
NICARAGUA:  LEON (TELICA VOLCANO DESTROYED);1938;05;06;NICARAGUA;;;;;;;;;;;SEVERE (~>$5 to $24 million);12.3;-86.9;0
INDONESIA:  SULAWESI ISLAND;1938;05;19;INDONESIA;;7.6;Tsunami;;;;;942;184;;SEVERE (~>$5 to $24 million);-1;120;0
CHINA:  YUNNAN PROVINCE:  SIMAO;1942;02;01;CHINA;;6.8;;90;;;;;;;EXTREME (~$25 million or more);23.1;100.3;0
PHILIPPINES:  MINDORO;1942;04;08;PHILIPPINES;25;7.8;;;;;;;;;;13.5;121;0
TURKEY:  CORUM;1942;12;02;TURKEY;;;;4;;;;;;;SEVERE (~>$5 to $24 million);40.6;35;0
IRAN:  GIV (SE BIRJAND);1946;02;10;IRAN;;;;3;;;;;;;SEVERE (~>$5 to $24 million);32.5;59.1;0
BRITISH COLUMBIA;1946;06;23;CANADA;;7.3;Tsunami;;;;;;;;LIMITED (roughly corresponding to less than $1 million);49.87;-124.92;0
JAPAN:  HONSHU:  S COAST;1946;12;20;JAPAN;20;8.1;Tsunami;1362;;;;14259;;;EXTREME (~$25 million or more);33;135.6;0
